TckrSymb;FinInstrmNm;OpnPric;HghPric;LwPric;ClsPric;LastPric;TtlTradgVol;TtlTrfVal
ISFL;ISF LIMITED;1.57;1.57;1.57;1.57;1.57;1384;2172
RISHILASE;RISHI LASER LTD.;141;148.85;135;145;146;16531;2325848
JAINCO;JAINCO PROJECTS (INDIA) LTD.;8.71;8.72;8.71;8.72;8.72;22;191
INTECCAP;INTEC CAPITAL LTD.;16.23;18.98;15.75;17.48;17.48;1616;25787
RAJGASES;RAJASTHAN GASES LTD.;42.32;43.39;42.3;42.3;42.3;1954;82763
63MOONS;63 Moons Technologies Limited;615.75;643.45;615.75;641.25;641.6;4820;3048632
SARLAPOLY;SARLA PERFORMANCE FIBERS LTD.;95.4;96.55;92.3;93.8;94.7;13306;1245227
MKTCREAT;MARKET CREATORS LTD.;12.7;12.76;12.7;12.76;12.76;61;777
HFIL;HIMALAYA FOOD INTERNATIONAL LI;15.2;15.2;14.51;14.75;14.75;26496;391946
SONALAD;SONAL ADHESIVES LTD.;48;51.9;48;48.4;48.4;579;28030
